symbol,sentiment_score,sentiment_label,confidence,news_count,sample_headlines
ADANIENT.NSE,0.0,neutral,0.5,0,[]
ADANIPORTS.NSE,0.0,neutral,0.5,0,[]
APOLLOHOSP.NSE,0.0,neutral,0.5,0,[]
ASIANPAINT.NSE,0.0,neutral,0.5,0,[]
AXISBANK.NSE,0.0,neutral,0.5,0,[]
BAJAJ-AUTO.NSE,0.0,neutral,0.5,0,[]
BAJFINANCE.NSE,0.0,neutral,0.5,0,[]
BHARTIARTL.NSE,0.0,neutral,0.5,0,[]
BPCL.NSE,0.0,neutral,0.5,0,[]
BRITANNIA.NSE,0.0,neutral,0.5,0,[]
CIPLA.NSE,0.0,neutral,0.5,0,[]
COALINDIA.NSE,0.0,neutral,0.5,0,[]
DIVISLAB.NSE,0.0,neutral,0.5,0,[]
DMART.NSE,0.0,neutral,0.5,0,[]
DRREDDY.NSE,0.0,neutral,0.5,0,[]
EICHERMOT.NSE,0.0,neutral,0.5,0,[]
GODREJCP.NSE,0.0,neutral,0.5,0,[]
GRASIM.NSE,0.0,neutral,0.5,0,[]
HCLTECH.NSE,0.0,neutral,0.5,0,[]
HDFCBANK.NSE,0.0,neutral,0.5,0,[]
HEROMOTOCO.NSE,0.0,neutral,0.5,0,[]
HINDALCO.NSE,0.0,neutral,0.5,0,[]
HINDUNILVR.NSE,0.0,neutral,0.5,0,[]
ICICIBANK.NSE,0.0,neutral,0.5,0,[]
INDUSINDBK.NSE,0.0,neutral,0.5,0,[]
INFY.NSE,0.0,neutral,0.5,0,[]
ITC.NSE,0.0,neutral,0.5,0,[]
JSWSTEEL.NSE,0.0,neutral,0.5,0,[]
KOTAKBANK.NSE,0.0,neutral,0.5,0,[]
LT.NSE,-0.9142,negative,0.9142,4,"['Stocks of Nuvama Wealth, Angel One, BSE tumble amid Jane Street controversy', 'With the US dollar at multi-year lows, could Indian stock market see a surge in FPI inflows?', 'Euro zone bond yields fall as recovery from gilt sell-off continues, tariff deadline looms']"
LTIM.NSE,0.0,neutral,0.5,0,[]
MARUTI.NSE,0.0,neutral,0.9619,1,"[""Stock market update: Stocks that hit 52-week lows on NSE in today's trade""]"
NESTLEIND.NSE,0.0,neutral,0.5,0,[]
NTPC.NSE,0.0,neutral,0.5,0,[]
ONGC.NSE,0.0,neutral,0.5,0,[]
PIDILITIND.NSE,0.0,neutral,0.5,0,[]
POWERGRID.NSE,0.0,neutral,0.5,0,[]
RELIANCE.NSE,0.0,neutral,0.5,0,[]
SBIN.NSE,0.0,neutral,0.5,0,[]
SHREECEM.NSE,0.0,neutral,0.5,0,[]
SUNPHARMA.NSE,0.0,neutral,0.5,0,[]
TATACONSUM.NSE,0.0,neutral,0.5,0,[]
TATAMOTORS.NSE,0.0,neutral,0.5,0,[]
TATASTEEL.NSE,0.0,neutral,0.5,0,[]
TCS.NSE,0.0,neutral,0.5,0,[]
TECHM.NSE,0.0,neutral,0.5,0,[]
TITAN.NSE,0.0,neutral,0.5,0,[]
ULTRACEMCO.NSE,0.0,neutral,0.5,0,[]
UPL.NSE,0.0,neutral,0.5,0,[]
WIPRO.NSE,0.0,neutral,0.5,0,[]
ALKEM.NSE,0.0,neutral,0.5,0,[]
AMBER.NSE,0.0,neutral,0.5,0,[]
AUBANK.NSE,0.0,neutral,0.5,0,[]
AUROPHARMA.NSE,0.0,neutral,0.5,0,[]
BANDHANBNK.NSE,0.0,neutral,0.5,0,[]
BANKBARODA.NSE,0.0,neutral,0.5,0,[]
BATAINDIA.NSE,0.0,neutral,0.5,0,[]
BERGEPAINT.NSE,0.0,neutral,0.5,0,[]
BIOCON.NSE,0.0,neutral,0.5,0,[]
BOSCHLTD.NSE,0.0,neutral,0.5,0,[]
CADILAHC.NSE,0.0,neutral,0.5,0,[]
CANFINHOME.NSE,0.0,neutral,0.5,0,[]
COFORGE.NSE,0.0,neutral,0.5,0,[]
COLPAL.NSE,0.0,neutral,0.5,0,[]
CROMPTON.NSE,0.0,neutral,0.5,0,[]
DABUR.NSE,0.0,neutral,0.5,0,[]
DIXON.NSE,0.0,neutral,0.5,0,[]
DLF.NSE,0.0,neutral,0.5,0,[]
FEDERALBNK.NSE,0.0,neutral,0.5,0,[]
GAIL.NSE,0.0,neutral,0.5,0,[]
GLENMARK.NSE,0.0,neutral,0.5,0,[]
GODREJPROP.NSE,0.0,neutral,0.5,0,[]
HAVELLS.NSE,0.0,neutral,0.5,0,[]
IDFCFIRSTB.NSE,0.0,neutral,0.5,0,[]
INOXLEISUR.NSE,0.0,neutral,0.5,0,[]
JINDALSTEL.NSE,0.0,neutral,0.5,0,[]
LTTS.NSE,0.0,neutral,0.5,0,[]
LUPIN.NSE,0.0,neutral,0.5,0,[]
MARICO.NSE,0.0,neutral,0.5,0,[]
MCDOWELL-N.NSE,0.0,neutral,0.5,0,[]
MINDTREE.NSE,0.0,neutral,0.5,0,[]
MOTHERSON.NSE,0.0,neutral,0.5,0,[]
MPHASIS.NSE,0.0,neutral,0.5,0,[]
NMDC.NSE,0.0,neutral,0.5,0,[]
PAGEIND.NSE,0.0,neutral,0.5,0,[]
PERSISTENT.NSE,0.0,neutral,0.5,0,[]
PNB.NSE,0.0,neutral,0.5,0,[]
POLYCAB.NSE,0.0,neutral,0.5,0,[]
PVR.NSE,0.0,neutral,0.5,0,[]
RELAXO.NSE,0.0,neutral,0.5,0,[]
SAIL.NSE,0.0,neutral,0.5,0,[]
SIEMENS.NSE,0.0,neutral,0.5,0,[]
SRF.NSE,0.0,neutral,0.5,0,[]
TORNTPHARM.NSE,0.0,neutral,0.5,0,[]
TRENT.NSE,0.0,neutral,0.9529,2,"[""Stock market update: Stocks that hit 52-week lows on NSE in today's trade"", 'Top Gainers and Losers on July 04: Trent, Angel One, BSE, Crisil, Sammaan Capital among top losers today']"
VEDL.NSE,0.0,neutral,0.5,0,[]
VIPIND.NSE,0.0,neutral,0.5,0,[]
VOLTAS.NSE,0.0,neutral,0.5,0,[]
WHIRLPOOL.NSE,0.0,neutral,0.5,0,[]
ACC.NSE,0.9162,positive,0.9162,2,"['Dreamfolks sees Rs 169-cr stake sale by Bajaj Finance, others via block deal; shares tank 12%', 'Can you trust AI to manage your mutual funds?: Bruce Keith on human vs AI debate']"
ABCAPITAL.NSE,0.0,neutral,0.5,0,[]
ABFRL.NSE,0.0,neutral,0.5,0,[]
IRCTC.NSE,0.0,neutral,0.5,0,[]
MINDAIND.NSE,0.0,neutral,0.5,0,[]
NYKAA.NSE,0.0,neutral,0.5,0,[]
PAYTM.NSE,0.0,neutral,0.5,0,[]
